1	30	18334	2	
0	30	20859	1	
0	27	20313	1	
1	29	18979	2	
0	21	12611	4	
0	69	12449	4	
0	29	20099	1	
1	40	21574	1	
0	61	14007	4	
1	46	15702	2	
0	30	19315	2	
1	68	12466	4	
1	42	20805	1	
0	53	17351	1	
1	42	19607	2	
0	66	11892	4	
0	69	14252	3	
1	16	11904	4	
1	51	15210	1	
0	56	16062	3	
1	25	21189	1	
1	35	20128	1	
0	52	17275	1	
0	54	14993	4	
1	58	16386	2	
0	59	14254	4	
0	25	18806	2	
1	39	22292	1	
1	17	12092	3	
1	71	12964	3	
1	43	21304	2	
1	70	11875	4	
0	40	20908	1	
1	28	18564	1	
1	53	16854	2	
0	49	15168	2	
1	44	21410	2	
0	23	12533	4	
0	46	16998	2	
1	69	12330	3	
1	49	15452	2	
0	53	16669	1	
0	31	20747	1	
1	71	14261	3	
0	46	14982	3	
0	46	17064	2	
0	55	15800	3	
0	69	11711	4	
0	33	19526	1	
1	58	14393	3	
1	21	10516	4	
0	17	11132	0	
1	48	15057	2	
0	21	11816	3	
1	15	11098	4	
1	33	20321	2	
0	16	11083	4	
0	60	15657	3	
1	58	15870	2	
0	43	21900	1	
0	39	19522	1	
0	68	12531	3	
1	52	15153	2	
1	53	14561	4	
1	24	12947	3	
1	25	20101	1	
0	35	21621	1	
0	71	11710	3	
0	57	15870	2	
1	27	20745	1	
0	56	14365	4	
0	23	10783	3	
0	47	15349	2	
0	73	14388	3	
1	49	14756	4	
0	71	14426	3	
0	20	12304	4	
1	55	14287	3	
0	56	14541	4	
0	52	16434	2	
1	51	15162	3	
0	49	17243	2	
1	32	18903	2	
0	54	17238	1	
1	50	15133	3	
0	48	15241	3	
0	74	12898	4	
1	56	14415	3	
1	68	11897	4	
0	65	11842	4	
0	20	11367	3	
0	47	15597	3	
1	51	16841	1	
1	60	15214	2	
1	48	14524	4	
1	19	10953	4	
0	73	12243	4	
1	15	11224	3	
1	21	10556	4	
0	67	11973	4	
1	65	13051	4	
0	57	14339	3	
0	51	16414	2	
1	71	13301	4	
0	29	20527	1	
0	32	18149	2	
1	29	19285	1	
0	28	19095	1	
1	32	21028	2	
0	28	20271	1	
0	62	16508	2	
0	49	17431	1	
0	54	15950	2	
1	50	16402	2	
1	22	13315	4	
1	28	20250	2	
0	30	18443	2	
0	26	17691	3	
1	16	11315	3	
1	36	19142	2	
1	32	18887	1	
0	52	15791	2	
0	54	14742	0	
1	74	12215	4	
1	33	18609	1	
1	51	14802	4	
1	19	11055	3	
1	34	20722	1	
1	28	21356	2	
1	26	17683	1	
1	21	10837	4	
0	74	13325	4	
1	69	12013	4	
0	29	17565	2	
0	37	20587	1	
1	35	22252	1	
0	28	20778	2	
1	64	14667	3	
1	33	18280	2	
0	44	19637	2	
1	39	20480	1	
1	58	16768	1	
0	42	21376	1	
1	16	10836	3	
0	70	12219	4	
0	73	13890	4	
0	57	16660	3	
1	41	19535	2	
1	16	11313	0	
0	55	15882	2	
0	58	16330	2	
0	29	17601	1	
0	38	19615	1	
1	15	10525	4	
1	70	12901	4	
1	27	18658	1	
0	40	21154	1	
0	39	19244	1	
0	42	22227	1	
0	64	14432	4	
1	57	16113	2	
1	42	19463	1	
1	41	22406	2	
0	15	11902	4	
1	53	15816	2	
0	17	10677	4	
0	64	16526	1	
1	74	12005	0	
0	48	15430	2	
1	45	15961	2	
1	28	18916	2	
1	59	15688	2	
0	28	19989	2	
1	42	19994	1	
1	34	20321	2	
1	59	14518	3	
0	29	18762	1	
1	33	18227	1	
0	59	16114	2	
1	55	14728	0	
1	39	21305	1	
1	57	15334	1	
1	30	19081	1	
1	59	15930	1	
1	44	19640	2	
