0	0	0	3741916	136621	3878537	7029578	9355283	8300	4074	7331	969	3658	416	75.14	55.17	49.08
1	1	0	201181	7918	209099	350480	461625	459	235	418	41	217	18	75.92	59.66	51.2
1	2	0	618232	21585	639817	1432871	1975721	963	482	801	162	400	82	72.52	44.65	50.05
1	3	0	197236	7812	205048	370160	510882	391	187	349	42	174	13	72.46	55.39	47.83
1	4	0	263474	9026	272500	425265	561744	586	274	541	45	258	16	75.7	64.08	46.76
1	5	0	591052	25554	616606	989345	1312467	1160	589	1058	102	536	53	75.38	62.32	50.78
1	6	0	234801	8338	243139	406951	530824	563	261	510	53	240	21	76.66	59.75	46.36
1	7	0	349106	14124	363230	557389	722795	749	386	680	69	360	26	77.12	65.17	51.54
1	8	0	277597	10465	288062	426630	547716	704	356	646	58	330	26	77.89	67.52	50.57
1	9	0	408321	14944	423265	679482	882640	958	464	833	125	416	48	76.98	62.29	48.43
1	10	0	103182	3807	106989	177801	232497	343	147	301	42	130	17	76.47	60.17	42.86
1	11	0	125160	5275	130435	258904	340964	414	177	345	69	142	35	75.93	50.38	42.75
1	12	0	43134	2637	45771	75632	96210	181	96	165	16	86	10	78.61	60.52	53.04
1	13	0	117283	1513	118796	297625	388321	296	157	233	63	137	20	73.31	41.35	42
1	14	0	94366	1302	95668	297872	413384	214	120	195	19	111	9	79.61	42.75	44.58
1	15	0	82140	836	82976	200688	273771	200	84	150	50	69	15	78.66	66.75	61.11
2	1	0	30632	1296	31928	74681	93803	83	37	78	5	36	1	79.61	42.75	44.58
2	2	0	5019	189	5208	7802	9919	36	22	28	8	16	6	78.66	66.75	61.11
1	1	1	32612	1583	34195	70246	95831	70	40	64	6	36	4	73.3	48.68	57.14
1	1	2	22243	1074	23317	52306	73038	42	23	35	7	20	3	71.61	44.58	54.76
1	1	3	22117	593	22710	34120	43305	57	26	53	4	25	1	78.79	66.56	45.61
1	1	4	17287	820	18107	24128	31161	46	24	44	2	23	1	77.43	75.05	52.17
1	1	5	18683	1005	19688	27958	35895	33	18	31	2	17	1	77.89	70.42	54.55
1	1	6	14300	435	14735	19661	25109	27	14	24	3	13	1	78.3	74.95	51.85
1	1	7	15066	512	15578	25224	32378	33	16	31	2	16	0	77.9	61.76	48.48
1	1	8	22170	906	23076	40338	52330	44	24	41	3	23	1	77.08	57.21	54.55
